PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;IDENTIFICADOR;DESIGNACIÓ-DESCRIPTIVA;IDE PDR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;CODIINE;NPLACES ESTACIÓ;TIPUS VEHICLE;TELEFON;HORARI;INFORMACIÓ ADICIONAL
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.411148;2.174359; 08-0193-022 ;B:SM 2 - Avinguda Gaudí;BSM006; Carrer dels Castillejos, 330 (E1), Carrer de Cartagena, 319 (E2);Barcelona;08;Barcelona;0193;3+1;cotxe i moto;93.435.17.46;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/avinguda-gaudi.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.384186;2.122279; 08-0193-023 ;B:SM 38 - Tanatori Les Corts;BSM007;Avinguda  de Joan XXIII, 23 - 25;Barcelona;08;Barcelona;0193;2+2;cotxe i moto;93.339.72.16;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/tanatori-les-corts-2311-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.372120;2.156625; 08-0193-024 ;B:SM 7 - Ciutat del Teatre;BSM008;Carrer de la França Xica, 35;Barcelona;08;Barcelona;0193;3;cotxe;93.424.61.60;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/ciutat-del-teatre.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.426834;2.184219; 08-0193-025 ;B:SM 8 - Concepció Arenal;BSM009;Carrer de Concepción Arenal, 156;Barcelona;08;Barcelona;0193;3+1;cotxe i moto;93.340.60.95;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/concepcio-arenal.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.380864;2.183077; 08-0193-026 ;B:SM 23 - Moll de la Fusta;BSM010;Carrer de l'Ictineu;Barcelona;08;Barcelona;0193;4+1;cotxe i moto;93.221.50.15;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/moll-de-la-fusta-2004-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.402470;2.204062; 08-0193-027 ;B:SM 4 - Bilbao-Llull;BSM011;Carrer de Bilbao, 24;Barcelona;08;Barcelona;0193;3+1;cotxe i moto;93.309.77.55;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/bilbao-llull-2019.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.4067;2.2184; 08-0193-028 ;B:SM 13 - García Fària;BSM012;Passeig de Garcia Fària, 71;Barcelona;08;Barcelona;0193;2;cotxe;93.356.09.17;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/garcia-faria2406-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.386972;2.197056; 08-0193-029 ;B:SM 19 - Marina Port;BSM013;Carrer de la Marina, 13-17;Barcelona;08;Barcelona;0193;7+2;cotxe i moto;93.221.00.14;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/marina-port-2022-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.394238;2.181891; 08-0193-030 ;B:SM 10 - Estació Barcelona-Nord;BSM014;Carrer d'Alí Bei, 54;Barcelona;08;Barcelona;0193;4+4;cotxe i moto;93.265.81.64;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/estacio-barcelona-nord.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.394009;2.115265; 08-0193-031 ;B:SM 20 - Marques de Mulhacen;BSM015;Carrer de Marquès de Mulhacén, 49-51;Barcelona;08;Barcelona;0193;6+2;cotxe i moto;93.205.02.09;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.372299;2.153134; 08-0193-032 ;B:SM 35 - Rius i Taulet;BSM016;Avinguda  de Rius i Taulet, 4-12;Barcelona;08;Barcelona;0193;3+3;cotxe i moto;93.423.53.61;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/rius-i-taulet-2000-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.3885;2.1983; 08-0193-033 ;B:SM 17 - Litoral Port;BSM017;Avinguda  del Litoral, 34;Barcelona;08;Barcelona;0193;3;cotxe;93.409.20.21;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/litoral-port-2023-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.4053;2.1429; 08-0193-034 ;B:SM 22 - Mitre Putxet;BSM018;Ronda General Mitre, 203;Barcelona;08;Barcelona;0193;2;cotxe;93.212.13.43;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/mitre-putxet-es.html
