PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;IDENTIFICADOR;DESIGNACIÓ-DESCRIPTIVA;IDE PDR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;CODIINE;NPLACES ESTACIÓ;TIPUS VEHICLE;TELEFON;HORARI;INFORMACIÓ ADICIONAL
Endesa;VIA PUBLICA;NORMAL;Schuko;41.393948;2.156007; 08-0193-070 ;22 AjBCN-Endesa;LC003;Carrer de Còrsega, 264;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.402999497099266;2.165665850043297; 08-0193-071 ;12 AjBCN-Endesa;LC004;Carrer Indústria, 19 - Passeig de Sant Joan;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.396236;2.182190; 08-0193-072 ;91 AjBCN-ETRA COBRA;LC005;Carrer d'Ausiàs March, 118;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.387074;2.171420; 08-0193-073 ;23 AjBCN-Endesa Fontanella-Pl.Catalunya;LC006;Carrer de Fontanella, 1;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.394226;2.169715; 08-0193-074 ;88 AjBCN-ETRA COBRA Bruc-Consell de Cent;LC007;Carrer del Bruc, 84;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.38925538477269;2.1613210067152977; 08-0193-075 ;28 AjBCN-Endesa-Aragó-Pl.Letamendi;LC008;Plaça del Dr. Letamendi, 30-33;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.359982;2.133193; 08-0193-076 ;89 AjBCN-ETRA-COBRA;LC009;Carretera del Prat, 42;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.380928;2.142103; 08-0193-077 ;25 AjBCN-Endesa-Sants;LC010;Avinguda  de Josep Tarradellas, 1;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.381355;2.129424; 08-0193-078 ;90 AjBCN-ETRA-COBRA Figols, Jardins Drs.Dolsa;LC011;Carrer de Fígols, 6;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.407269;2.138413; 08-0193-079 ;16 AjBCN-Endesa;LC012;Carrer de Balmes,422 - Carrer de Castanyer;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.392296; 2.132156; 08-0193-080 ;15 AjBCN-Endesa Sarrià-Ricard Villa;LC013;Avinguda  de Sarrià, 130;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.394203;2.123794; 08-0193-081 ;93 AjBCN-ETRA-COBRA;LC014;Carrer d'Osi, 4;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.413960;2.142913; 08-0193-082 ;01 AjBCN-Endesa-Clinica Delfos;LC015;Avinguda de Vallcarca, 154;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.406525;2.152333; 08-0193-083 ;92 AjBCN-ETRA COBRA  Torrent de l'Olla;LC016;Carrer del Torrent de l'Olla, 222;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.444744;2.174166; 08-0193-084 ;04 AjBCN-Endesa;LC017;Via Favència, 169 - Almansa;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.43888220469643;2.1813661605119705; 08-0193-085 ;09 AjBCN-Endesa;LC018;Carrer Rio de Janeiro, 81 - Passeig Valldaura;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.423615;2.179456; 08-0193-086 ;11 AjBCN-Endesa Garcilaso;LC019;Carrer de Garcilaso, 204;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA;NORMAL;Schuko;41.420052;2.181559; 08-0193-087 ;95 AjBCN-ETRA-COBRA Maragall-Olesa;LC020;Plaça de Maragall, 21;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.408447;2.202893; 08-0193-088 ;08 AjBCN-Endesa;LC021;Carrer de Cristóbal de Moura,24 - Carrer de Bac de Roda;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.41161975311658;2.2185080498456955; 08-0193-089 ;06 AjBCN-Endesa-Forum-RamblaPrim;LC022;Rambla de Prim, 19;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.4200135;2.20166990000007; 08-0193-090 ;10 AjBCN-Endesa Guipúscoa;LC023;Rambla de Guipúscoa, 103-105;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
22@;VIA PUBLICA;NORMAL;Schuko;41.396897;2.200017; 08-0193-091 ;29 AjBCN-22@ Ciutat de Granada;LC024;Carrer de la Ciutat de Granada, 17;Barcelona;08;Barcelona;0193;1;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
22@;VIA PUBLICA;NORMAL;Schuko;41.396934;2.199915; 09-0193-092 ;30 AjBCN-22@ Ciutat de Granada;LC025;Carrer de la Ciutat de Granada, 19;Barcelona;09;Barcelona;0193;1;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.37533580948218;2.130439728498459; 08-0193-093 ;18 AjBCN-Endesa;LC026;Rambla Badal, 165 - Carrer de Sants;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.374847;2.171055; 08-0193-094 ;27 AjBCN-Endesa REE-TRYP APOLO;LC027;Avinguda  Paral·lel, 55;Barcelona;08;Barcelona;0193;2;cotxe i moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;DESMANTELLADA;Schuko;41.37793880565255;2.1211542561650276; 08-0193-095 ;17 AjBCN-Endesa;LC028;Aristides Maillol,1 - Travessera de les Corts;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.388088;2.107004; 08-0193-096 ;21 AjBCN-Endesa;LC029;Carretera d'Esplugues, 52 - Carrer Eduard Toldra;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.397507;2.119605; 08-0193-097 ;05 AjBCN-Endesa Domínguez Miralles- J.V.Foix;LC030;Avinguda Josep Vicenç Foix, 86;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.429535;2.158481; 08-0193-098 ;02 AjBCN-Endesa;LC031;Carrer de Lisboa, 7-11;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.434910;2.148409; 08-0193-099 ;03 AjBCN-Endesa Vall d'Hebron;LC032;Arquitecte Moragas,31 - Avinguda  Can Marcet,36;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.442436;2.197319; 08-0193-100 ;07 AjBCN-Endesa La Maquinista;LC033;Carrer República Dominicana - Carrer de Potosí;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.390945;2.196515; 08-0193-101 ;13 AjBCN-Endesa;LC034;Avinguda  d'Icària, 145 - Carrer de Rosa Censat, 14;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;DESMANTELLADA;Schuko;41.379547;2.187588; 08-0193-102 ;086 MOBECPOINT- PORT VELL;LC035;Passeig de Joan de Borbó, 22 - Carrer de la Maquinista;Barcelona;08;Barcelona;0193;6;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;DESMANTELLADA;Schuko;41.385643;2.174869; 08-0193-103 ;XXX MOBECPOINT- PLAÇA DELS PEIXOS;LC036;Carrer Duran i Bas, 9 - Plaça del Peixos,1;Barcelona;08;Barcelona;0193;6;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41.385166;2.116051; 08-0193-104 ;084 MOBECPOINT-ETSEIB;LC037;Carrer de Pasqual i Vila 22 - Avinguda  Diagonal;Barcelona;08;Barcelona;0193;6;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41.3954372;2.103586500000006; 08-0193-105 ;108 MOBECPOINT-IESE Pearson;LC038;Avinguda  de Pearson, 19;Barcelona;08;Barcelona;0193;10;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41.405085;2.207517; 08-0193-106 ;085 MOBECPOINT- SCHNEIDER ELECTRIC;LC039;Carrer de Llull, 285;Barcelona;08;Barcelona;0193;6;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41.4064;2.2012; 08-0193-107 ;123 MOBECPOINT-Hotel Me;LC040;Carrer de Lope de Vega, 158 - Carrer Pere IV;Barcelona;08;Barcelona;0193;9;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.393659;2.148857; 08-0193-159 ;Lateral-Mar Diagonal (Casanova-Muntaner) 1;LC041;Avinguda Diagonal, 449;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.393660;2.148858; 08-0193-160 ;Lateral-Mar Diagonal (Casanova-Muntaner) 2;LC042;Avinguda Diagonal, 449;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.394501;2.152312; 08-0193-161 ;Lateral-Mar Diagonal (Aribau-Enric Granados) 1;LC043;Avinguda Diagonal, 429;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.394502;2.152313; 08-0193-162 ;Lateral-Mar Diagonal (Aribau-Enric Granados) 2;LC044;Avinguda Diagonal, 429;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.396281;2.159284; 08-0193-163 ;Lateral-Mar Diagonal (Còrsega) 1;LC045;Avinguda Diagonal, 387;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.396282;2.159285; 08-0193-164 ;Lateral-Mar Diagonal (Còrsega) 2;LC046;Avinguda Diagonal, 387;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.393227;2.145783; 08-0193-165 ;Lateral-Muntanya Diagonal (Travessera Gràcia) 1;LC047;Avinguda Diagonal, 598;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.393228;2.145784; 08-0193-166 ;Lateral-Muntanya Diagonal (Travessera Gràcia) 2;LC048;Avinguda Diagonal, 598;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.395304;2.153848; 08-0193-167 ;Lateral-Muntanya Diagonal (Balmes-Tusset) 1;LC049;Avinguda Diagonal, 508-510;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;NORMAL;Schuko;41.395305;2.153849; 08-0193-168 ;Lateral-Muntanya Diagonal (Balmes-Tusset) 2;LC050;Avinguda Diagonal, 508-510;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID i NORMAL;MENNEKES.F+Schuko;41.406037;2.192503; 08-0193-109 ;XX (eDUM)-El Parc i la Llacuna (7.4kW);QC001;Carrer de la Llacuna, 149;Barcelona;08;Barcelona;0193;2;mercaderies;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID i NORMAL;MENNEKES.F+Schuko;41.433956;2.192101; 08-0193-110 ;94 (eDUM)-Sant Adrià - Pl. Can Fabra (7.4kW);QC002;Carrer de Sant Adrià, 21;Barcelona;08;Barcelona;0193;2;mercaderies;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID;MENNEKES.F;41.37544422780801;2.1890386193990707; 08-0193-111 ;20 (eTAXI)-Barceloneta - Joan de Borbó (7.4kW);QC003;Passeig Joan de Borbó - Carrer de la Drassana, 1;Barcelona;08;Barcelona;0193;2;taxi;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID;MENNEKES.F;41.393005;2.146561; 08-0193-112 ;24 (eTAXI)-Villarroel- Diagonal (7.4kW);QC004;Carrer de Villarroel,277-Avinguda  Diagonal;Barcelona;08;Barcelona;0193;2;taxi;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID;MENNEKES.F;41.406959089343644;2.218313254415989; 08-0193-113 ;96 (eTAXI) -Garcia i Fària - Josep Pla (7.4kW);QC005;Carrer Josep Pla-Passeig Garcia Fària, 87;Barcelona;08;Barcelona;0193;2;taxi;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;semiRAPID;MENNEKES.F;41.375233;2.151765; 08-0193-114 ;26 (eTAXI)- Llançà - Paral·lel (7.4kW);QC006;Carrer de Llançà, 3 - Avinguda  del Paral·lel ;Barcelona;08;Barcelona;0193;2;taxi;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;semiRAPID;MENNEKES;41.393688;2.148970; 08-0193-157 ;(eDUM)  Lateral-Mar Diagonal (Casanova-Muntaner) (7-8kW);QC007;Avinguda Diagonal, 449;Barcelona;08;Barcelona;0193;2;mercaderies;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;semiRAPID;MENNEKES;41.395370;2.153832; 08-0193-158 ;(eDUM)  Lateral-Muntanya Diagonal (Balmes-Tusset) (7-12kW);QC008;Avinguda Diagonal, 508;Barcelona;08;Barcelona;0193;2;mercaderies;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Ajuntament d'Alella;VIA PUBLICA;NORMAL;Schuko;41.49187;2.295535; 08-0039-001 ;Riera Fosca-Riera Alella;;Riera Fosca-Riera Alella;Barcelona;08;Alella;0039;2;;;;
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41.452527719;2.249290201; 08-0155-001 ;CC BCN-El Viver;;Avinguda  President Companys, 3;Barcelona;08;Badalona;0155;6;;;;
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41.454780677;2.246644505; 08-0155-002 ;CC BCN-Manel Valls;;Plaça Manel Valls;Barcelona;08;Badalona;0155;6;;;;
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41.454699911;2.243362333; 08-0155-003 ;CC BCN-Illa Central;;Avinguda  Martí Pujol;Barcelona;08;Badalona;0155;6;;;;
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41.443979302;2.238902041; 08-0155-004 ;CC BCN-Països Catalans;;Plaça dels Països Catalans;Barcelona;08;Badalona;0155;6;;;;
SUZUKA ZERO;CONCESSIONARI (PRIVAT) ;NORMAL;Schuko;41.4425;2.233888889; 08-0155-005 ;Suzuka Zero;;Carrer Baldomero Solà 202-204;Barcelona;08;Badalona;0155;1;cotxe i moto;93.460.14.10;DL-DV Horari Comercial;
MOBILITAT-IBERDROLA;VIA PUBLICA (MOBECPOINT);NORMAL;Schuko;41.459165763709166;2.2288499772548676; 08-0155-007 ;MOBECPOINT-Institut Gaudí Construcció;;Avinguda Comunitat Europea;Barcelona;08;Badalona;0155;1;moto;;;
IBIL;APARCAMENT CC (IBIL);semiRAPID i NORMAL;MENNEKES+Schuko;41.508264;2.138665; 08-2520-001 ;IBIL-CC Baricentro (11kW);;Carretera N-150 km 6,7  (Pstg.Sagrera);Barcelona;08;Barberà del Vallès;2520;2;cotxe i moto;;;
MOBECHOTEL-IBERDROLA;VIA PUBLICA;NORMAL;Schuko;41.411739;2.219399; 08-0193-108 ;124 MOBECPOINT-Hotel Zero;;Plaça de Llevant ;Barcelona;08;Barcelona;0193;10;moto;;;
El Corte Inglés;APARCAMENT CC;NORMAL;Schuko;41.387627;2.128022; 08-0193-115 ;98 El Corte Inglés;;Avinguda Diagonal, 617;Barcelona;08;Barcelona;0193;3;cotxe;;;
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;41.3893292;2.166049599999951; 08-0193-118 ;HOTEL NH CALDERON;;Rambla de Catalunya, 26;Barcelona;08;Barcelona;0193;1;;93.301.00.00;;
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;41.388790;2.136332; 08-0193-119 ;103 HOTEL NH CONSTANZA;;Carrer de Déu i Mata, 69;Barcelona;08;Barcelona;0193;1;cotxe;;;
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;41.38455;2.1376712999999654; 08-0193-120 ;HOTEL NH NUMANCIA;;Carrer de Numància, 74;Barcelona;08;Barcelona;0193;1;;93.322.44.51;;
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;41.3915983 ;2.177850499999977; 08-0193-121 ;HOTEL NH PODIUM;;Carrer de Bailén, 4-6;Barcelona;08;Barcelona;0193;1;;93.265.02.02;;
Interparking;APARCAMENT PUBLIC;NORMAL;Schuko;41.378017;2.176001; 08-0193-122 ;105 Interparking Rambla Plç.Colon;;Rambla de Santa Mònica, 20;Barcelona;08;Barcelona;0193;2;cotxe;;;
Interparking;APARCAMENT CC;NORMAL;Schuko;41.392826;2.163384; 08-0193-123 ;104 Interparking Boulevard Rosa;;Carrer de València 270;Barcelona;08;Barcelona;0193;2;cotxe;;;
Melià BCN;HOTEL;NORMAL;Schuko;41.390865;2.141604; 08-0193-125 ;Melià BCN;;Avinguda  Sarrià, 50;Barcelona;08;Barcelona;0193;2;cotxe;;;
Parc cientific;APARCAMENT PUBLIC;NORMAL;Schuko;41.381573;2.114353; 08-0193-126 ;110 Parc cientific;;Avinguda del Dr. Gregorio Marañón, 8;Barcelona;08;Barcelona;0193;13;cotxe i moto;;;
Parking Abart;APARCAMENT PUBLIC;NORMAL;Schuko;41.396271;2.149651; 08-0193-127 ;111 Parking Abart;;Travessera de Gràcia, 53-65;Barcelona;08;Barcelona;0193;1;cotxe i moto;;;
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41.429783;2.172896; 08-0193-128 ;REGESA Paul Claudel;;Plaça de Paul Claudel, s/n;Barcelona;08;Barcelona;0193;4;cotxe;;;
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41.418510;2.186116; 08-0193-129 ;74 REGESA;;Plaça de Ferran Reyes, 9;Barcelona;08;Barcelona;0193;4;cotxe;;;
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41.420441;2.180899; 08-0193-130 ;75 REGESA;;Plaça de Maragall, 1;Barcelona;08;Barcelona;0193;4;cotxe;;;
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41.392242;2.139655; 08-0193-131 ;72 REGESA;;Plaça de Wagner, s/n;Barcelona;08;Barcelona;0193;4;cotxe;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.391895;2.169057; 08-0193-133 ;76 SABA;;Carrer de la Diputació, 286;Barcelona;08;Barcelona;0193;2;cotxe;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.387398;2.168515; 08-0193-134 ;77 SABA;;Rambla de Catalunya, 15;Barcelona;08;Barcelona;0193;2;cotxe;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.389408;2.183425; 08-0193-135 ;78 SABA;;Passeig Lluís Companys, 2;Barcelona;08;Barcelona;0193;4;cotxe;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.385239;2.176462; 08-0193-136 ;79 SABA Mercat Sta.Caterina;;Avinguda  de la Catedral, 8;Barcelona;08;Barcelona;0193;2;moto;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.411869;2.132823; 08-0193-137 ;80 SABA Cosmocaixa ;;Carrer dels Quatre Camins, 89;Barcelona;08;Barcelona;0193;2;cotxe;;;
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41.393417;2.107020; 08-0193-138 ;81 SABA;;Plaça de l'Escultor Ramir Rocamora - Avinguda  Pearson, 21;Barcelona;08;Barcelona;0193;2;cotxe;;;
Servei Estació;APARCAMENT CC;NORMAL;Schuko;41.391502;2.164304; 08-0193-139 ;112 Servei Estació;;Carrer d'Aragó, 268;Barcelona;08;Barcelona;0193;1;cotxe;;;
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41.399605;2.170186; 08-0193-140 ;114 SERVICIOS MERIDIANA;;Carrer de Mallorca, 335;Barcelona;08;Barcelona;0193;6;cotxe i moto;;;
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41.408394;2.177052; 08-0193-141 ;115 SERVICIOS MERIDIANA;;Carrer de Rosselló, 503-505;Barcelona;08;Barcelona;0193;4;cotxe i moto;;;
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41.402645;2.202802; 08-0193-142 ;116 SERVICIOS MERIDIANA;;Passatge Saladrigas, 4-6;Barcelona;08;Barcelona;0193;6;cotxe i moto;;;
TABASA E.S. Tunel Vallvidrera;ESTACIÓ SERVEI;NORMAL;Schuko;41.433258;2.078548; 08-0193-143 ;97 TABASA E.S. Tunel Vallvidrera;;Carretera C-16, km 6,45;Barcelona;08;Barcelona;0193;4;cotxe i moto;;;
